folder,table,variable,description
PlatformData,login,event_type,Can either be login or logout
PlatformData,login,timestamp,Timestamp when login/logout occurred 
PlatformData,ratings,problem_id,Unique identifier of the problem
PlatformData,ratings,team_id,Unique identifier for the team that produced the report
PlatformData,ratings,content_type,"'report', 'resource', or 'comment'. Other types may be added in future."
PlatformData,ratings,content_id,Unique identifier for the content (content can be response or comment)
PlatformData,ratings,author_id,Unique identifier of the original author of the response
PlatformData,ratings,author,Name of the user who originally authored the response
PlatformData,ratings,rater_id,Unique identifier of a user who rated the response
PlatformData,ratings,rater,Name of the user who rated the response
PlatformData,ratings,last_edited,Timestamp when the rating was last updated
PlatformData,ratings,rating_type,"'thumbs', 'simple', 'detailed'"
PlatformData,ratings,rating_total,"1 or 0 for thumbs, number (0-100) for simple, aggregated number for detailed rating"
PlatformData,ratings,rating_sub_01_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_01,Number for detailed rating field 1
PlatformData,ratings,rating_sub_02_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_02,Number for detailed rating field 2
PlatformData,ratings,rating_sub_03_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_03,Number for detailed rating field 3
PlatformData,ratings,rating_sub_04_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_04,Number for detailed rating field 4
PlatformData,ratings,rating_sub_05_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_05,Number for detailed rating field 5
PlatformData,ratings,rating_sub_06_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_06,Number for detailed rating field 6
PlatformData,ratings,rating_sub_07_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_07,Number for detailed rating field 7
PlatformData,ratings,rating_sub_08_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_08,Number for detailed rating field 8
PlatformData,ratings,rating_sub_09_title,The title of the ratings subfield
PlatformData,ratings,rating_sub_09,Number for detailed rating field 9
PlatformData,ratings,problem,Short title of the problem
PlatformData,relations,addressant,User addressed by the other user (e.g. mentioned in chat)
PlatformData,relations,problem_id,Unique identifier of problem
PlatformData,relations,team,Name of team both users are in
PlatformData,relations,user,User who addresses another user ( e.g. writes a chat message that contains a name tag)
PlatformData,relations,problem,Name of problem 
PlatformData,relations,interaction,"Describes the interaction: 'comment', 'contributor' or 'chat'"
PlatformData,relations,count,Number of times this interaction happened
PlatformData,top_reports,problem_id,Unique identifier of the problem
PlatformData,top_reports,problem,Short title of the problem
PlatformData,top_reports,team_id,Unique identifier for the team that produced the report
PlatformData,top_reports,team,Screen name for the team_id
PlatformData,top_reports,report_id,Unique identifier for the report (response of type 'report')
PlatformData,top_reports,team_rating,The aggregate rating of the report from the (internal) team at time of submission
PlatformData,top_reports,rating_count,Number of received ratings
PlatformData,top_reports,origin_author_id,Unique identifier of the user that first created the response that ultimately resulted in this top report
PlatformData,top_reports,origin_author_name,Name of the author that first created the response
PlatformData,responses,problem_id,Unique identifier of the problem
PlatformData,responses,team_id,Unique identifier for the team that produced the response
PlatformData,responses,team,The name of the team that produced the response
PlatformData,responses,response_id,Unique identifier for the a response
PlatformData,responses,time_created,Timestamp when the response was first created
PlatformData,responses,time_last_changed,Timestamp when the response was last updated
PlatformData,responses,response_title,The beginning of the response in plain text format
PlatformData,responses,response_type,"Type of response, currently 'report' or 'resource'. More types may be added in future"
PlatformData,responses,response_text,A unique filename of the response content in markdown text format
PlatformData,responses,response_file,A unique filename in the 'Responses' subfolder that contains the HTML file of the response
PlatformData,responses,problem,Short title of the problem
PlatformData,timeline,chunk_id,"Unique identifier for the artefact contributed (can be a report, resource, comment, rating, update)"
PlatformData,timeline,parent_id,"Unique identifier for the source the artefact was contributed to (a report or resource in case of a comment or update, a problem_id in case of a report or resource, a report in case of a rating)"
PlatformData,timeline,problem_id,Unique identifier for the problem (e.g. in case the artefact is a report or resource parent and problem id are identical)
PlatformData,timeline,team_id,Unique identifier for team
PlatformData,timeline,team,Name of team
PlatformData,timeline,timestamp,"Timestamp when artefact was contributed, for resources, reports and comments this is their first post, for ratings only the last update is stored"
PlatformData,timeline,type,"The artefact type, can be report, resource, comment, rating, update"
PlatformData,timeline,problem,The problem title
PlatformData,timeline,user_id,Unique indentifier of the user contributing the artefact
PlatformData,timeline,user,Name of user
CoreData,probparts,team,Name of team the user is in
CoreData,probparts,user,Name of user
CoreData,probparts,report_count,Number of reports user contributed to problem
CoreData,probparts,resource_count,Number of resources user contributed to problem 
CoreData,probparts,comment_count,Number of comments user contributed in a problem
CoreData,probparts,chat_count,Number of chat messages user contributed in a problem
CoreData,probparts,comment_vote_count,Number of comment upvotes user contributed in a problem
CoreData,probparts,resource_vote_count,Number of resource upvotes user contributed in a problem
CoreData,probparts,simple_rating,Number of times a user contributed a simple (single number) rating
CoreData,probparts,partial_rating,Number of times a user contributed a partial (some of the rubrics) rating
CoreData,probparts,complete_rating,Number of times a user contributed a complete (all rubrics) rating
CoreData,probparts,problem,Title of the problem
CoreData,probparts,engagement,Calculated number of overall engagement of one user to a problem
CoreData,probparts,report_count_scaled,"Number of reports user contributed to problem, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,resource_count_scaled,"Number of resources user contributed to problem, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,comment_count_scaled,"Number of comments user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,chat_count_scaled,"Number of chat messages user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,comment_vote_count_scaled,"Number of comment upvotes user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,resource_vote_count_scaled,"Number of resource upvotes user contributed in a problem, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,simple_rating_scaled,"Number of times a user contributed a simple (single number) rating, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,partial_rating_scaled,"Number of times a user contributed a partial (some of the rubrics) rating, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,complete_rating_scaled,"Number of times a user contributed a complete (all rubrics) rating, scaled (within this platform instance) to range between 0 and 1"
CoreData,probparts,engagement_scaled,"Calculated number of overall engagement of one user to a problem, using scaled engagement scores as inputs"
CoreData,probparts,vote_count,comment_vote_count + resource_vote_count
CoreData,probparts,quick_rating,simple_rating + partial_rating
CoreData,probparts,cluster,Integer ID for the nearest ‘user role’ cluster
CoreData,probparts,clusterLabel,Descriptive label for the nearest ‘user role’ cluster
CoreData,teams,team,Team name.
CoreData,teams,AOMT,"Median Actively Open-Minded Thinking score for team members. Missing values are excluded from the calculation. Note that this statistic even includes team members who may not have been active on a particular problem. For a problem-specific version, see the probteams table."
CoreData,teams,divAOMT,"Average pairwise difference in AOMT scores across all team members for whom the AOMT score is available. Note that this statistic even includes team members who may not have been active on a particular problem. For a problem-specific version, see the probteams table."
CoreData,teams,medianEdu,"Median education level for the team, where education levels are encoded as follows. 1 = ‘High School’; 2 = ‘Trade or Technical Qualification’; 3 = ‘Bachelors’; 4 = ‘Graduate Certificate, Diploma or equivalent’; 5 = ‘Masters’; 6 = ‘Phd’. Missing values excluded from calculation. Note that this statistic even includes team members who may not have been active on a particular problem. For a problem-specific version, see the probteams table."
CoreData,teams,type,Team type. PT = Public Team; ST = Superteam; OT = Organisational Team; AA = Agency Analyst (2018 SWARM Challenge); PA = Public Analyst (2018 SWARM Challenge); GP = General Public (2018 SWARM Challenge).
CoreData,probteams,team,Team name.
CoreData,probteams,problem,Problem title.
CoreData,probteams,probNum,Position of the problem in the sequence of problems attempted by this team in this exercise.
CoreData,probteams,type,Team type. PT = Public Team; ST = Superteam; OT = Organisational Team; AA = Agency Analyst (2018 SWARM Challenge); PA = Public Analyst (2018 SWARM Challenge); GP = General Public (2018 SWARM Challenge).
CoreData,probteams,avgIC,Quality of reasoning score on the IC Rating Scale for the team’s top report. This is usually the average of independent ratings by at least 3 external raters.
CoreData,probteams,nIC,Number of external raters who independently rated the report on the IC Rating Scale.
CoreData,probteams,rankIC,"The teams rank on this problem, when all teams who submitted a report for the problem are ranked from best to worst by avgIC. If there are ties, all tied teams receive the best (lowest integer) rank applicable."
CoreData,probteams,nGeoCorrect,Number of geolocation challenges successfully solved (if applicable to the problem).
CoreData,probteams,probabilityEstimate,The team’s probability estimate as stated in their top-rated report (if applicable to the problem).
CoreData,probteams,tightness,The score on a tightness redaction test for the team’s top-rated report (if applicable to the problem).
CoreData,probteams,nBayesCorrect,Number of Bayesian probability puzzles correctly solved (if applicable to the problem).
CoreData,probteams,nFlawsDetected,Number or reasoning flaws correctly detected (if applicable to the problem).
CoreData,probteams,activeUsers,The number of users who had a (strictly) positive engagement score (according to the probparts table).
CoreData,probteams,textSimReports,"Average pairwise cosine test similarity between all responses of type ‘report’ created by the team on the platform for this problem. Higher values indicate more similar reports. If there were no reports or only 1 report, textSimReports = 1."
CoreData,probteams,textSimResponses,"Average pairwise cosine test similarity between all responses (both ‘reports’ and ‘resources’) created by the team on the platform for this problem. Higher values indicate more similar reports. If there were no responses or only 1 response, textSimResponses = 1."
CoreData,probteams,AOMT,Median Actively Open-Minded Thinking score for team members who were active on this problem. Missing values are excluded from the calculation.
CoreData,probteams,divAOMT,"Average pairwise difference in AOMT scores across all team members who were active on this problem, and for whom the AOMT score is available."
CoreData,probteams,medianEdu,"Median education level for the team members who were active on this problem, where education levels are encoded as follows. 1 = ‘High School’; 2 = ‘Trade or Technical Qualification’; 3 = ‘Bachelors’; 4 = ‘Graduate Certificate, Diploma or equivalent’; 5 = ‘Masters’; 6 = ‘Phd’. Missing values excluded from calculation."
CoreData,teamparts,user,Username.
CoreData,teamparts,team,"A team of which the user was a member. (Users may be members of multiple teams over the course of an exercise. For example, they may be in an ordinary public team early on, and then get selected for a superteam later. In such a case, there would be two rows in this table, one for each pairing of a user with a team.)"
CoreData,rates,problem,Problem title.
CoreData,rates,team,Team name.
CoreData,rates,rater,Rater’s name.
CoreData,rates,c1,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 1."
CoreData,rates,c1comment,Rater’s comment associated with the score on criterion 1.
CoreData,rates,c2,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 2."
CoreData,rates,c2comment,Rater’s comment associated with the score on criterion 2.
CoreData,rates,c3,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 3."
CoreData,rates,c3comment,Rater’s comment associated with the score on criterion 3.
CoreData,rates,c4,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 4."
CoreData,rates,c4comment,Rater’s comment associated with the score on criterion 4.
CoreData,rates,c5,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 5."
CoreData,rates,c5comment,Rater’s comment associated with the score on criterion 5.
CoreData,rates,c6,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 6."
CoreData,rates,c6comment,Rater’s comment associated with the score on criterion 6.
CoreData,rates,c7,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 7."
CoreData,rates,c7comment,Rater’s comment associated with the score on criterion 7.
CoreData,rates,c8,"Score (Poor, Fair, Good, Excellent) assigned by rater on the IC Rating Scale Criterion 8."
CoreData,rates,c8comment,Rater’s comment associated with the score on criterion 8.
CoreData,rates,geo1,"Rater’s determination of whether the team successfully identified the geolocation problem 1 (Yes, Partial Credit, No)."
CoreData,rates,geo2,"Rater’s determination of whether the team successfully identified the geolocation problem 2 (Yes, Partial Credit, No)."
CoreData,rates,geo3,"Rater’s determination of whether the team successfully identified the geolocation problem 3 (Yes, Partial Credit, No)."
CoreData,rates,geo4,"Rater’s determination of whether the team successfully identified the geolocation problem 4 (Yes, Partial Credit, No)."
CoreData,rates,ODNI,Total score on the IC Rating Scale (c1 + c2 + c3 + c4 + c5 + c6 + c7 + c8).
CoreData,rates,geo1score,"Numerical score for geolocation problem 1 (Yes, Partial Credit = 1, No = 0)."
CoreData,rates,geo2score,"Numerical score for geolocation problem 2 (Yes, Partial Credit = 1, No = 0)."
CoreData,rates,geo3score,"Numerical score for geolocation problem 3 (Yes, Partial Credit = 1, No = 0)."
CoreData,rates,geo4score,"Numerical score for geolocation problem 4 (Yes, Partial Credit = 1, No = 0)."
CoreData,rates,geoOverall,geo1score + geo2score + geo3score + geo4score
CoreData,rates,isRedactionTestRating,"Yes/No indicating whether the rating is a redaction test rating for tightness (rather than, say, a quality of reasoning rating using the IC Rating Scale)."
CoreData,rates,raterProbabilityEstimate,The rater’s probability estimate in a redaction test to measure tightness.
CoreData,rates,estTimeTaken,Rater’s estimate of the time it took them to estimate the probability in a redaction test for tightness.
CoreData,rates,estJustification,Rater’s justification for their probability estimate in a redaction test for tightness.
CoreData,rates,estComments,Rater’s comments about the process of estimating the probability in a redaction test for tightness.
CoreData,rates,bayes1,Yes/No indicating whether the team successfully solved Bayesian probability problem 1.
CoreData,rates,bayes2,Yes/No indicating whether the team successfully solved Bayesian probability problem 2.
CoreData,rates,bayes3,Yes/No indicating whether the team successfully solved Bayesian probability problem 3.
CoreData,rates,bayes1score,"Numerical score for Bayesian problem 1 (Yes = 1, No = 0)."
CoreData,rates,bayes2score,"Numerical score for Bayesian problem 2 (Yes = 1, No = 0)."
CoreData,rates,bayes3score,"Numerical score for Bayesian problem 3 (Yes = 1, No = 0)."
CoreData,rates,flaw1,Rater’s determination of whether the team successfully identified reasoning flaw 1 (Yes/No).
CoreData,rates,flaw2,Rater’s determination of whether the team successfully identified reasoning flaw 2 (Yes/No).
CoreData,rates,flaw3,Rater’s determination of whether the team successfully identified reasoning flaw 3 (Yes/No).
CoreData,rates,flaw4,Rater’s determination of whether the team successfully identified reasoning flaw 4 (Yes/No).
CoreData,parts,user,Username.
CoreData,parts,isOrg,Logical. Equals TRUE if user participated as part of an organisational team.
CoreData,parts,gaveConsent2,Gave consent to participate in the ‘Problem Solving In Online Groups’ experiment.
CoreData,parts,gaveConsent3,Gave consent to participate in the ‘Identifying and Rating Quality of Reasoning’ experiment.
CoreData,parts,gaveConsent4,Gave consent to proceed with the Entry Survey in the Psychology Capstone exercise.
CoreData,parts,agreedToTerms,
CoreData,parts,agegroup,Age group.
CoreData,parts,gender,Gender.
CoreData,parts,occupation,Occupation status.
CoreData,parts,education,Highest education level.
CoreData,parts,"major1, major2",Subjects majored in.
CoreData,parts,"minor1, minor2",Subjects minored in.
CoreData,parts,studyarea,Study area.
CoreData,parts,studyareaOtherInput,"Free text input for ‘Other’ study area, if selected."
CoreData,parts,englishProficiency,"Proficiency in English. Response options are: ‘No proficiency’, ‘Elementary proficiency’, ‘Limited working proficiency’, ‘Professional working proficiency’, ‘Full professional proficiency’, ‘Native or bilingual proficiency’"
CoreData,parts,loteProficiency1-6,Specified proficiency levels in up to 6 languages other than English.
CoreData,parts,loteProficiencyText1-6,The languages for which the proficiency is specified in loteProficiency.
CoreData,parts,enjoyLogicProbs,"Response to the prompt: ‘How enjoyable do you find logic problems?’ Response options are: ‘Note at all enjoyable’, ‘A little bit enjoyable’, ‘Slightly enjoyable’, ‘Somewhat enjoyable’, ‘Quite enjoyable’, ‘Very enjoyable’, ‘Extremely enjoyable’"
CoreData,parts,enjoyNumProbs,"Response to the prompt: ‘How enjoyable do you find number problems?’ Response options are: ‘Note at all enjoyable’, ‘A little bit enjoyable’, ‘Slightly enjoyable’, ‘Somewhat enjoyable’, ‘Quite enjoyable’, ‘Very enjoyable’, ‘Extremely enjoyable’"
CoreData,parts,exp1,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Mathematics (generally)’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp2,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Quantitative  Modeling, Simulation’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp3,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Statistics’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp4,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Probability’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp5,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Bayes Nets’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp6,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Programming’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp7,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Experimental Design’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp8,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Risk Analysis’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp9,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Forecasting’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp10,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Decision Thoery (e.g. multi-attribute utility theory)’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp11,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Game Theory’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp12,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Structured Analytic Techniques’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp13,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Argument Mapping’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp14,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Informal Logic’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp15,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Systems Thinking or Cognitive Mapping’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp16,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Image Analysis’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp17,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Link Analysis’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp18,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Graphic Design’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,exp19,"Numerical encoding of the participant’s response to the prompt: ‘Please rate your level of technical expertise in the following areas: Technical Writing’. 1 = ‘Not familiar with this domain’, 2 = ‘Studied in school, but don’t use it’, 3 = ‘Use this knowledge occasionally’, 4 = ‘Use this knowledge regularly’, 5 = ‘I am a recognized expert’, 6 = ‘I am an international authority’."
CoreData,parts,pc…,"Probability coherence questions. The prompt is: ‘What is the probability that each of the following statements are true? If you are absolutely certain that the statement is true, you should enter 100. Likewise, if you are absolutely certain that the statement is false, you should enter 0. If you are uncertain, you should enter the probability that corresponds with what you think are the chances that the statement is true. When answering these questions, we ask that you do NOT consult with any outside sources.’ Respondents then select a probability as a percentage."
CoreData,parts,pc5A,'HA is the postal abbreviation for Hawaii.'
CoreData,parts,pc5B,'HI is the postal abbreviation for Hawaii.'
CoreData,parts,pc5Acomp,'HA is NOT the postal abbreviation for Hawaii.'
CoreData,parts,pc5AUB,'Either HA or HI is the postal abbreviation for Hawaii.'
CoreData,parts,pc14A,'Michaelangelo painted the Sistine Chapel.'
CoreData,parts,pc14B,'Raphael painted the Sistine Chapel.'
CoreData,parts,pc14Acomp,'Michaelangelo did NOT paint the Sistine Chapel.'
CoreData,parts,pc14AUB,'Either Michaelangelo or Raphael painted the Sistine Chapel.'
CoreData,parts,pc35A,'The Pacific Ocean is the largest of Earth’s oceans.'
